Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,ID Alternativa 2,Coordenadas Alternativa 2,ID Alternativa 3,Coordenadas Alternativa 3
Marquezotes de Guadalupe (Los Ojitos),"(24.80783, -105.13448)",DU0626,47.90 km,DU0176,"(24.90683, -105.37349)",DU0467,"(24.94863, -105.41173)",DU7006,"(24.88679, -105.07403)"
Marquesotes de Guadalupe (Canelas),"(24.80783, -105.13448)",DU0626,48.78 km,DU0467,"(24.94863, -105.41173)",DU7006,"(24.88679, -105.07403)",DU3563,"(24.89359, -105.06556)"
Margaritas,"(22.76281, -103.57483)",ZA0128,32.96 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
Margarita del Norte,"(25.94020, -103.15023)",CO0742,67.95 km,CO0739,"(25.94455, -103.23143)",CO7010,"(25.87645, -103.13462)",DU6571,"(26.10940, -103.43592)"
Manzanillas,"(26.81694, -107.05728)",CH5617,40.69 km,CH0714,"(26.81174, -107.07233)",CH0718,"(26.83303, -107.07060)",CH2074,"(26.81886, -107.08142)"
Manzanilla,"(22.30032, -103.55819)",ZA0292,54.64 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Manzanilla,"(25.05276, -106.33673)",DU0174,34.82 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",—,—
Mamatla,"(21.50249, -103.55792)",ZA1169,32.18 km,ZA0044,"(21.46583, -103.46193)",ZA0263,"(21.80789, -103.46603)",ZA8178,"(21.51044, -103.40625)"
Malichachi,"(27.93678, -107.04294)",CH6453,37.78 km,CH4324,"(27.46821, -106.73537)",CH2087,"(27.78242, -107.49814)",CH0908,"(28.05665, -107.03118)"
Mala Noche y Arracadas,"(25.67253, -102.45550)",CO1670,31.83 km,CO1647,"(25.65109, -102.16799)",CO2629,"(25.64597, -102.57853)",CO0407,"(25.58755, -102.17208)"
MaÃ­z Gordo,"(23.07844, -104.54656)",DU0496,44.64 km,DU4411,"(23.47328, -104.39306)",—,—,—,—
Maguey Verde (Mesa de Vacas),"(21.21550, -100.22275)",GT1171,31.62 km,GT1316,"(21.20378, -100.18239)",GT1559,"(21.29987, -100.48099)",GT0502,"(21.29016, -100.49157)"
Maguey [De Milpillas],"(23.07844, -104.54656)",DU0496,50.41 km,DU4411,"(23.47328, -104.39306)",DU6611,"(23.53744, -104.37669)",DU6516,"(23.92122, -104.99531)"
Maguarachi,"(27.02892, -107.73714)",CH2269,44.47 km,CH1455,"(27.39202, -108.42094)",SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)"
Machogueachi,"(27.30113, -107.54361)",CH0739,39.09 km,CH2087,"(27.78242, -107.49814)",CH0345,"(27.74129, -107.63878)",CH4324,"(27.46821, -106.73537)"
Lumbreras,"(17.34483, -100.22369)",GR5193,38.68 km,GR0756,"(17.31715, -100.39922)",GR8207,"(17.78936, -99.98378)",GR5204,"(17.60314, -99.93694)"
Luis EcheverrÃ­a (La Quemada),"(23.47328, -104.39306)",DU4411,32.70 km,DU6611,"(23.53744, -104.37669)",DU0496,"(23.07844, -104.54656)",DU0551,"(23.59145, -104.06088)"
Lucio Blanco (La Pelota),"(25.65109, -102.16799)",CO1647,57.29 km,CO1670,"(25.67253, -102.45550)",CO0407,"(25.58755, -102.17208)",CO0822,"(25.62542, -101.97889)"
Lote 11,"(26.01975, -111.36000)",BS0148,34.75 km,BS1350,"(26.02022, -111.35112)",BS2385,"(25.99936, -111.36886)",BS5744,"(26.01192, -111.34119)"
Los Zapotes,"(22.76281, -103.57483)",ZA0128,40.22 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
Los Vientos,"(28.00222, -114.01083)",BS4207,121.45 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",SO2684,"(29.90803, -112.68386)"
Los Veranos,"(23.07844, -104.54656)",DU0496,64.26 km,DU0235,"(23.77339, -105.35650)",DU6999,"(23.77830, -105.37182)",DU2983,"(23.78909, -105.34690)"
Los Veranos,"(27.05566, -106.26396)",CH0911,41.40 km,CH0375,"(27.45339, -105.81033)",CH0369,"(26.95484, -106.34788)",CH3939,"(27.36270, -105.74811)"
Los Venados,"(21.98111, -103.58889)",JL8886,78.80 km,NA5833,"(21.44087, -104.48832)",NA5834,"(21.42382, -104.44885)",NA2847,"(21.66886, -104.84350)"
Los Valencia,"(30.09705, -107.33374)",CH6634,34.67 km,CH0617,"(30.11456, -107.61732)",CH2489,"(30.07675, -107.61498)",CH5637,"(30.02192, -107.56475)"
Los Toros,"(22.30032, -103.55819)",ZA0292,72.30 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",ZA0128,"(22.76281, -103.57483)"
Los Toriles,"(25.46960, -106.92968)",SI0507,46.10 km,SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)",CH3301,"(26.04211, -106.50761)"
Los Tomates,"(25.05276, -106.33673)",DU0174,48.23 km,SI4807,"(24.41386, -106.69064)",SI2224,"(24.38410, -106.69087)",—,—
Los Terreros,"(26.37953, -108.35475)",SI2522,57.75 km,SI2520,"(26.61647, -108.30358)",SI2521,"(26.55525, -108.35581)",SI6077,"(25.79969, -107.87472)"
Los TÃ¡scates,"(26.37953, -108.35475)",SI2522,39.24 km,SI2521,"(26.55525, -108.35581)",SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)"
Los Tajos,"(27.02892, -107.73714)",CH2269,44.84 km,CH0372,"(26.42989, -107.26740)",SI2520,"(26.61647, -108.30358)",—,—
Los Sauces,"(22.30032, -103.55819)",ZA0292,65.49 km,JL8886,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Sauces,"(24.41386, -106.69064)",SI4807,47.45 km,SI2224,"(24.38410, -106.69087)",—,—,—,—
Los Sauces,"(25.05276, -106.33673)",DU0174,55.32 km,DU0467,"(24.94863, -105.41173)",DU0176,"(24.90683, -105.37349)",DU7552,"(25.04575, -105.43594)"
Los Robles,"(21.98111, -103.58889)",JL8886,67.53 km,NA5834,"(21.42382, -104.44885)",NA5833,"(21.44087, -104.48832)",ZA0292,"(22.30032, -103.55819)"
Los Robles,"(23.81039, -105.54583)",DU0471,57.15 km,DU1926,"(23.73250, -105.69011)",DU5639,"(23.74774, -105.53415)",DU0266,"(23.92609, -105.34104)"
Los Reyes,"(25.05276, -106.33673)",DU0174,45.32 km,SI4807,"(24.41386, -106.69064)",SI2224,"(24.38410, -106.69087)",—,—
Los Ranchitos,"(21.80789, -103.46603)",ZA0263,34.76 km,ZA1169,"(21.50249, -103.55792)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
Los Queleles,"(24.39908, -111.11575)",BS0426,55.15 km,BS8353,"(24.48875, -111.29436)",BS6502,"(24.20364, -110.94706)",BS6498,"(24.14264, -110.77739)"
Los Pozos,"(17.92179, -101.32309)",GR6118,34.22 km,GR6057,"(17.54143, -101.26027)",GR1506,"(17.55017, -101.27818)",GR4006,"(17.53511, -101.27707)"
Los Pocitos,"(23.07844, -104.54656)",DU0496,34.27 km,DU4411,"(23.47328, -104.39306)",DU6611,"(23.53744, -104.37669)",—,—
Los PlÃ¡tanos,"(24.41386, -106.69064)",SI4807,34.89 km,SI2224,"(24.38410, -106.69087)",DU0174,"(25.05276, -106.33673)",SI0733,"(24.94536, -106.94647)"
Los Platanitos,"(24.96764, -106.97108)",SI2620,31.00 km,SI0733,"(24.94536, -106.94647)",SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)"
Los Planes,"(17.27178, -100.89222)",GR5716,36.32 km,GR0233,"(17.26701, -100.88046)",GR3317,"(17.37841, -101.05556)",GR1431,"(17.27228, -100.95139)"
Los Placeres,"(26.61647, -108.30358)",SI2520,45.80 km,SI2521,"(26.55525, -108.35581)",SI2522,"(26.37953, -108.35475)",SI2200,"(26.71148, -108.32373)"
Los Pinos,"(27.39202, -108.42094)",CH1455,32.80 km,SO9654,"(27.38838, -108.85665)",—,—,—,—
Los Pinos,"(22.30032, -103.55819)",ZA0292,58.39 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Los Pinos,"(16.35400, -91.92440)",CP1283,30.17 km,CP2416,"(16.20831, -91.86467)",CP1854,"(16.47121, -92.02662)",CP0165,"(16.31786, -91.97727)"
Los Pilares,"(27.30113, -107.54361)",CH0739,39.97 km,CH4324,"(27.46821, -106.73537)",CH2087,"(27.78242, -107.49814)",—,—
Los Pilares,"(26.81694, -107.05728)",CH5617,31.63 km,CH0714,"(26.81174, -107.07233)",CH0718,"(26.83303, -107.07060)",CH2074,"(26.81886, -107.08142)"
Los Pericos,"(18.12433, -100.34312)",GR0457,32.51 km,GR2164,"(18.16131, -100.38972)",GR6769,"(18.15450, -100.50047)",GR0473,"(18.15848, -100.31717)"
Los Pavos,"(24.90683, -105.37349)",DU0176,55.62 km,DU0266,"(23.92609, -105.34104)",DU0626,"(24.80783, -105.13448)",DU0467,"(24.94863, -105.41173)"
Los Parajitos,"(18.24280, -100.89106)",GR0456,33.62 km,GR0464,"(18.34305, -100.88518)",GR2153,"(18.29553, -100.85231)",GR2165,"(18.47569, -100.97771)"
Los Otates,"(21.98111, -103.58889)",JL8886,59.17 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Osos (El Caracol),"(22.30032, -103.55819)",ZA0292,42.95 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)"
Los Oscuros,"(23.92609, -105.34104)",DU0266,40.61 km,DU0472,"(23.86234, -105.31529)",DU0471,"(23.81039, -105.54583)",DU5631,"(23.85471, -105.24624)"
Los Ãrganos,"(22.30032, -103.55819)",ZA0292,40.98 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Los Ãrganos,"(18.24280, -100.89106)",GR0456,40.07 km,GR6769,"(18.15450, -100.50047)",GR1219,"(18.21538, -100.55082)",GR2153,"(18.29553, -100.85231)"
Los Olotes,"(21.98111, -103.58889)",JL8886,59.58 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
Los Ojitos (El Yaqui),"(25.33103, -105.77888)",DU0634,34.82 km,DU5626,"(25.33328, -105.73028)",DU2363,"(25.34073, -105.72376)",DU0468,"(25.34867, -105.71981)"
Los Ojitos,"(23.92609, -105.34104)",DU0266,30.17 km,DU0472,"(23.86234, -105.31529)",DU0471,"(23.81039, -105.54583)",DU5631,"(23.85471, -105.24624)"
Los Novillos,"(26.61647, -108.30358)",SI2520,45.89 km,SI2521,"(26.55525, -108.35581)",SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)"
Los Nopales,"(21.66886, -104.84350)",NA2847,67.14 km,NA5834,"(21.42382, -104.44885)",NA0195,"(21.50351, -104.70170)",NA0221,"(21.46807, -104.65590)"
Los Nogales,"(24.96764, -106.97108)",SI2620,31.79 km,SI0733,"(24.94536, -106.94647)",SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)"
Los Naranjos,"(20.19833, -104.40916)",JL0087,36.09 km,JL2068,"(20.32137, -104.53852)",JL0936,"(20.12861, -104.34490)",JL5666,"(20.13994, -104.34822)"
Los Mimbres [De Milpillas],"(23.92122, -104.99531)",DU6516,50.14 km,DU0550,"(23.86555, -105.20646)",DU5631,"(23.85471, -105.24624)",DU4459,"(23.92150, -105.14519)"
Los Mezquites,"(22.76281, -103.57483)",ZA0128,32.37 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
Los Mangos,"(26.01975, -111.36000)",BS0148,36.70 km,BS1350,"(26.02022, -111.35112)",BS2385,"(25.99936, -111.36886)",BS5744,"(26.01192, -111.34119)"
Los Magueyitos,"(26.81694, -107.05728)",CH5617,44.44 km,CH0714,"(26.81174, -107.07233)",CH0718,"(26.83303, -107.07060)",CH2074,"(26.81886, -107.08142)"
Los Madriles,"(25.05276, -106.33673)",DU0174,40.75 km,SI2620,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)"
Los Lobos,"(27.02892, -107.73714)",CH2269,37.98 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",SI7734,"(26.70969, -108.38353)"
Los Lobos,"(24.41386, -106.69064)",SI4807,68.81 km,SI2224,"(24.38410, -106.69087)",DU0174,"(25.05276, -106.33673)",SI5235,"(23.92432, -106.62329)"
Los Lobos,"(21.66886, -104.84350)",NA2847,67.21 km,NA5833,"(21.44087, -104.48832)",NA5834,"(21.42382, -104.44885)",NA0195,"(21.50351, -104.70170)"
Los Lobitos,"(25.33103, -105.77888)",DU0634,41.37 km,DU5626,"(25.33328, -105.73028)",DU7944,"(25.92462, -105.94612)",DU0468,"(25.34867, -105.71981)"
Los Llanos,"(22.30032, -103.55819)",ZA0292,40.39 km,ZA0347,"(22.44342, -103.50008)",ZA0128,"(22.76281, -103.57483)",ZA0447,"(22.76671, -103.57033)"
Los Llanitos,"(27.87114, -108.21967)",CH0784,32.40 km,CH4809,"(27.96549, -107.60990)",CH3944,"(27.75343, -107.63875)",CH0345,"(27.74129, -107.63878)"
Los Llanitos,"(25.33103, -105.77888)",DU0634,34.12 km,DU0174,"(25.05276, -106.33673)",DU5626,"(25.33328, -105.73028)",DU2363,"(25.34073, -105.72376)"
Los Llanitos,"(27.87114, -108.21967)",CH0784,40.24 km,CH1455,"(27.39202, -108.42094)",CH2652,"(28.16097, -108.57019)",SO9654,"(27.38838, -108.85665)"
Los Llanitos,"(26.95484, -106.34788)",CH0369,35.91 km,CH0911,"(27.05566, -106.26396)",CH1559,"(26.86168, -105.85368)",CH6372,"(26.80163, -105.82446)"
Los Lirios,"(21.98111, -103.58889)",JL8886,56.38 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Lindos,"(19.95192, -105.23999)",JL5313,31.04 km,JL3789,"(19.93612, -105.24983)",JL0923,"(19.92464, -105.26170)",JL5935,"(19.67989, -105.18638)"
Los Limones [De los Naranjos],"(23.52929, -105.78702)",SI4799,36.00 km,SI0060,"(23.42616, -105.85934)",SI6211,"(23.48669, -105.84315)",DU4501,"(23.70194, -105.57852)"
Los Leones,"(23.07844, -104.54656)",DU0496,44.33 km,NA7565,"(22.63707, -105.31837)",NA4245,"(22.49835, -105.32586)",NA0226,"(22.51984, -105.34442)"
Los Lazos,"(23.07844, -104.54656)",DU0496,57.52 km,ZA0128,"(22.76281, -103.57483)",ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)"
Los Laureles [De Milpillas],"(23.07844, -104.54656)",DU0496,40.43 km,DU4411,"(23.47328, -104.39306)",DU6611,"(23.53744, -104.37669)",—,—
Los Laureles,"(27.87114, -108.21967)",CH0784,38.47 km,CH5404,"(28.19311, -108.37132)",CH1455,"(27.39202, -108.42094)",CH3310,"(28.20438, -108.21263)"
Los Laureles,"(25.46960, -106.92968)",SI0507,40.50 km,DU0174,"(25.05276, -106.33673)",SI1818,"(25.47913, -106.93961)",SI0733,"(24.94536, -106.94647)"
Los Laureles,"(27.02892, -107.73714)",CH2269,33.84 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",SI2520,"(26.61647, -108.30358)"
Los Laureles,"(26.42989, -107.26740)",CH0372,44.83 km,CH2074,"(26.81886, -107.08142)",CH0714,"(26.81174, -107.07233)",CH0718,"(26.83303, -107.07060)"
Los Laureles,"(25.05276, -106.33673)",DU0174,35.37 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)"
Los Lampaces,"(18.24280, -100.89106)",GR0456,40.38 km,GR2153,"(18.29553, -100.85231)",GR6769,"(18.15450, -100.50047)",GR1219,"(18.21538, -100.55082)"
Los Lajeros,"(28.16097, -108.57019)",CH2652,32.88 km,CH0784,"(27.87114, -108.21967)",CH5404,"(28.19311, -108.37132)",—,—
Los Jarados (Los Arados),"(22.30032, -103.55819)",ZA0292,56.46 km,JL8886,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Jacales,"(24.38410, -106.69087)",SI2224,31.86 km,SI4807,"(24.41386, -106.69064)",SI5791,"(23.94176, -106.42636)",—,—
Los Indios,"(25.87042, -107.54683)",SI5998,35.33 km,CH2750,"(26.09427, -106.96368)",CH0717,"(26.08042, -106.95358)",—,—
Los Hornitos,"(27.46821, -106.73537)",CH4324,38.27 km,CH0718,"(26.83303, -107.07060)",CH5617,"(26.81694, -107.05728)",CH2074,"(26.81886, -107.08142)"
Los Horcones,"(25.05276, -106.33673)",DU0174,40.26 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",SI0733,"(24.94536, -106.94647)"
Los Horcones,"(23.07844, -104.54656)",DU0496,46.85 km,NA7565,"(22.63707, -105.31837)",—,—,—,—
Los Guayabos,"(27.02892, -107.73714)",CH2269,44.68 km,CH0372,"(26.42989, -107.26740)",SI2520,"(26.61647, -108.30358)",—,—
Los Guayabos,"(22.30032, -103.55819)",ZA0292,64.52 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Los Gavilanes,"(22.63707, -105.31837)",NA7565,49.81 km,NA4245,"(22.49835, -105.32586)",NA0226,"(22.51984, -105.34442)",NA7440,"(22.50514, -105.35680)"
Los GarcÃ­a,"(22.76281, -103.57483)",ZA0128,32.94 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
Los Gallos,"(22.63707, -105.31837)",NA7565,51.05 km,NA4245,"(22.49835, -105.32586)",DU0496,"(23.07844, -104.54656)",NA0226,"(22.51984, -105.34442)"
Los Fresnos de Puerto Rico,"(17.31715, -100.39922)",GR0756,47.67 km,GR1505,"(17.22878, -100.63653)",GR4010,"(17.22302, -100.63185)",GR0233,"(17.26701, -100.88046)"
Los Fresnos,"(25.05276, -106.33673)",DU0174,35.84 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)"
Los Fresnos,"(24.90683, -105.37349)",DU0176,42.56 km,DU0467,"(24.94863, -105.41173)",DU2990,"(25.03256, -105.42306)",DU7552,"(25.04575, -105.43594)"
Los Eucaliptos,"(31.88160, -116.54694)",BN8329,32.81 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Los Espinos,"(26.09427, -106.96368)",CH2750,32.81 km,CH0717,"(26.08042, -106.95358)",CH0372,"(26.42989, -107.26740)",SI5998,"(25.87042, -107.54683)"
Los Espejos,"(22.30032, -103.55819)",ZA0292,47.93 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Los Espejos,"(23.07844, -104.54656)",DU0496,52.12 km,NA7565,"(22.63707, -105.31837)",NA4258,"(22.26860, -105.20875)",NA0907,"(22.14175, -105.09664)"
Los Encinos,"(21.98111, -103.58889)",JL8886,80.41 km,NA2847,"(21.66886, -104.84350)",NA5833,"(21.44087, -104.48832)",NA0194,"(21.94281, -104.99812)"
Los Encinitos,"(17.92179, -101.32309)",GR6118,34.74 km,GR8227,"(17.96614, -101.81194)",GR6041,"(17.87142, -101.73625)",MI7482,"(18.24819, -101.88580)"
Los Encinitos,"(26.71148, -108.32373)",SI2200,32.24 km,SI0684,"(26.70435, -108.33040)",SI7734,"(26.70969, -108.38353)",SI2520,"(26.61647, -108.30358)"
Los Diamantes,"(18.24280, -100.89106)",GR0456,37.58 km,GR6118,"(17.92179, -101.32309)",GR2153,"(18.29553, -100.85231)",GR0464,"(18.34305, -100.88518)"
Los Desmontes,"(26.04211, -106.50761)",CH3301,36.39 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",CH0717,"(26.08042, -106.95358)"
Los Cuervos,"(21.98111, -103.58889)",JL8886,64.68 km,NA5834,"(21.42382, -104.44885)",NA5833,"(21.44087, -104.48832)",JL1636,"(21.97547, -103.50061)"
Los Cuates,"(27.05566, -106.26396)",CH0911,30.41 km,CH6259,"(26.86889, -105.84528)",CH1559,"(26.86168, -105.85368)",CH0615,"(26.89331, -105.76747)"
Los Crucitos,"(22.63707, -105.31837)",NA7565,47.09 km,NA4245,"(22.49835, -105.32586)",NA0226,"(22.51984, -105.34442)",NA0228,"(22.39346, -105.30152)"
Los Cortijos,"(25.87042, -107.54683)",SI5998,33.08 km,CH2750,"(26.09427, -106.96368)",CH0717,"(26.08042, -106.95358)",—,—
Los Corralitos,"(23.07844, -104.54656)",DU0496,47.85 km,NA7565,"(22.63707, -105.31837)",NA4245,"(22.49835, -105.32586)",NA0226,"(22.51984, -105.34442)"
Los Copales,"(21.50249, -103.55792)",ZA1169,31.59 km,ZA0044,"(21.46583, -103.46193)",ZA0263,"(21.80789, -103.46603)",—,—
Los Conejos,"(21.98111, -103.58889)",JL8886,61.86 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Colorados,"(21.21550, -100.22275)",GT1171,32.86 km,GT1303,"(21.18326, -100.19782)",SL7365,"(21.65002, -99.82013)",SL1080,"(21.76611, -99.91189)"
Los Ciruelos (El Ciruelo),"(18.24819, -101.88580)",MI7482,34.63 km,MI2928,"(18.29047, -101.90400)",MI7606,"(18.66281, -101.64622)",MI0895,"(18.11272, -101.89917)"
Los Ciruelos,"(19.67663, -104.72677)",JL3114,31.36 km,JL6518,"(19.71833, -104.61083)",JL5313,"(19.95192, -105.23999)",JL3789,"(19.93612, -105.24983)"
Los Ciruelos,"(18.15450, -100.50047)",GR6769,38.11 km,GR1219,"(18.21538, -100.55082)",GR7030,"(18.16806, -100.48750)",GR2153,"(18.29553, -100.85231)"
Los Cimientos,"(24.41386, -106.69064)",SI4807,50.84 km,SI2224,"(24.38410, -106.69087)",SI5791,"(23.94176, -106.42636)",DU0174,"(25.05276, -106.33673)"
Los Cimientos,"(17.26701, -100.88046)",GR0233,38.59 km,GR1505,"(17.22878, -100.63653)",GR5716,"(17.27178, -100.89222)",GR4010,"(17.22302, -100.63185)"
Los Chirimoyos,"(25.05276, -106.33673)",DU0174,35.18 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)"
Los Charcos,"(23.92609, -105.34104)",DU0266,48.96 km,DU0471,"(23.81039, -105.54583)",DU0472,"(23.86234, -105.31529)",DU0347,"(23.79810, -105.38399)"
Los Charcos,"(26.83303, -107.07060)",CH0718,40.60 km,CH5617,"(26.81694, -107.05728)",CH2074,"(26.81886, -107.08142)",CH0714,"(26.81174, -107.07233)"
Los Changos,"(26.81694, -107.05728)",CH5617,52.99 km,CH0714,"(26.81174, -107.07233)",CH0718,"(26.83303, -107.07060)",CH2074,"(26.81886, -107.08142)"
Los Cerritos,"(27.45339, -105.81033)",CH0375,32.53 km,CH3939,"(27.36270, -105.74811)",CH0911,"(27.05566, -106.26396)",—,—
Los Cerritos,"(23.07844, -104.54656)",DU0496,39.86 km,NA7565,"(22.63707, -105.31837)",—,—,—,—
Los Cerritos,"(21.98111, -103.58889)",JL8886,50.86 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",ZA1169,"(21.50249, -103.55792)"
Los Carrizos,"(25.87042, -107.54683)",SI5998,34.87 km,CH0372,"(26.42989, -107.26740)",—,—,—,—
Los Cardos,"(23.81039, -105.54583)",DU0471,52.02 km,DU1926,"(23.73250, -105.69011)",DU0266,"(23.92609, -105.34104)",DU5639,"(23.74774, -105.53415)"
Los Cardos,"(24.94863, -105.41173)",DU0467,67.59 km,DU0176,"(24.90683, -105.37349)",DU2990,"(25.03256, -105.42306)",DU7552,"(25.04575, -105.43594)"
Los Camotes,"(25.87042, -107.54683)",SI5998,52.93 km,SI6077,"(25.79969, -107.87472)",SI0659,"(25.86436, -108.15831)",CH0372,"(26.42989, -107.26740)"
Los Bustillos,"(26.95484, -106.34788)",CH0369,49.76 km,CH3301,"(26.04211, -106.50761)",CH5617,"(26.81694, -107.05728)",CH0714,"(26.81174, -107.07233)"
Los BÃºfalos,"(26.01975, -111.36000)",BS0148,35.72 km,BS1350,"(26.02022, -111.35112)",BS2385,"(25.99936, -111.36886)",BS5744,"(26.01192, -111.34119)"
Los Borreguitos,"(26.37953, -108.35475)",SI2522,59.65 km,SI5998,"(25.87042, -107.54683)",SI6077,"(25.79969, -107.87472)",SI2520,"(26.61647, -108.30358)"
Los Bordos (El Atole),"(23.47328, -104.39306)",DU4411,36.54 km,DU6611,"(23.53744, -104.37669)",DU0496,"(23.07844, -104.54656)",DU0551,"(23.59145, -104.06088)"
Los Bitachis,"(27.39202, -108.42094)",CH1455,30.49 km,SO9654,"(27.38838, -108.85665)",—,—,—,—
Los Berros,"(26.42989, -107.26740)",CH0372,54.95 km,SI2520,"(26.61647, -108.30358)",CH2269,"(27.02892, -107.73714)",SI2522,"(26.37953, -108.35475)"
Los Bayados,"(17.37841, -101.05556)",GR3317,47.19 km,GR5716,"(17.27178, -100.89222)",GR0233,"(17.26701, -100.88046)",GR0516,"(17.32510, -101.04249)"
Los Batequis,"(27.29239, -112.91149)",BS2901,76.16 km,BS3456,"(27.37276, -113.21481)",BS5871,"(27.48808, -113.30311)",BS0014,"(27.18776, -112.24527)"
Los Bancos,"(18.47569, -100.97771)",GR2165,36.88 km,GR0464,"(18.34305, -100.88518)",GR0456,"(18.24280, -100.89106)",GR6118,"(17.92179, -101.32309)"
Los BajÃ­os de FÃ©lix,"(26.04211, -106.50761)",CH3301,45.40 km,CH2750,"(26.09427, -106.96368)",CH0717,"(26.08042, -106.95358)",CH0369,"(26.95484, -106.34788)"
Los Bajillos,"(26.61647, -108.30358)",SI2520,52.81 km,SI2522,"(26.37953, -108.35475)",SI2521,"(26.55525, -108.35581)",SI2200,"(26.71148, -108.32373)"
Los Arroyos,"(25.05276, -106.33673)",DU0174,54.14 km,DU0467,"(24.94863, -105.41173)",DU0176,"(24.90683, -105.37349)",DU7552,"(25.04575, -105.43594)"
Los Arrieros,"(21.98111, -103.58889)",JL8886,63.43 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Arquitos,"(22.63707, -105.31837)",NA7565,41.02 km,NA4245,"(22.49835, -105.32586)",NA0226,"(22.51984, -105.34442)",NA7440,"(22.50514, -105.35680)"
Los Armadillos,"(23.07844, -104.54656)",DU0496,42.95 km,NA7565,"(22.63707, -105.31837)",—,—,—,—
Los Arcos,"(21.98111, -103.58889)",JL8886,74.62 km,ZA0292,"(22.30032, -103.55819)",NA5833,"(21.44087, -104.48832)",NA5834,"(21.42382, -104.44885)"
Los Arcos,"(23.07844, -104.54656)",DU0496,49.55 km,NA7565,"(22.63707, -105.31837)",DU4411,"(23.47328, -104.39306)",—,—
